ols,ridge,lasso,elastic,knn_5,knn_10,knn_15,random_forest,gradient_boosting,SuperLearner
0.528812068542028,0.5299282755935818,0.5744224220337502,0.5638942325044598,0.2909577795538727,0.3262240663635406,0.3113302951239588,0.5277712653448219,0.7022287302545328,0.6384569684899563
0.7632874313138014,0.7752222224409293,0.77440184354079,0.7846746006701504,0.5228825224852456,0.6165653709040786,0.45471092582205985,0.5862038541455751,0.6229541865987036,0.7589707351486528
0.4875193301539069,0.461096601593158,0.31812605526447535,0.379995155427583,0.32045024163482405,0.2788371307623556,0.2340081092173687,0.1527297900628648,0.31888537597391575,0.3668222378737871
0.8088212964679964,0.8070817338950512,0.7841048724931903,0.8033825823405049,0.48197297180793774,0.5385277054651132,0.45480242775580737,0.7272742188547784,0.7885172341723166,0.807901926554125
0.5392377101263592,0.5748619214828146,0.6356254080310395,0.6452409910890347,0.3489726719695254,0.4191184859625591,0.46385943053721435,0.6293891489235789,0.6126242823986078,0.6511172021864396
0.7317991953425841,0.7342755942273239,0.6615089802274041,0.6971236938436627,0.45147770684698196,0.544324255113809,0.5412099418140548,0.6195702151856541,0.6949260801720631,0.7317737822504006
0.6182601938562715,0.6103785028054265,0.5688971662437297,0.5990095838454295,0.3253696792223245,0.38786715242474135,0.3489521446789777,0.2726070568830805,0.3744182937637319,0.547730977821685
0.7838314218750083,0.7895825657480383,0.8046670395253115,0.8061079228805981,0.6693492377503678,0.59597920178923,0.5719813020663717,0.7003620313882586,0.8274012982725831,0.8407059475404396
0.7445136314585755,0.7417508884126425,0.7187450609877746,0.7395733347601403,0.6028970947747715,0.5421203874335928,0.5526492201799409,0.718573994160312,0.651546366157675,0.7114728467735423
0.7923652308414117,0.8021465926814717,0.8311322413465326,0.8307384217261626,0.6470295913582803,0.6503447104787428,0.5958913916415627,0.8645277024668255,0.8511482010382939,0.8577431242304897
0.8300290862332594,0.8233639298194558,0.7984622097135139,0.8116209309800025,0.6583337247870658,0.5888584909328217,0.5121021841803433,0.777739179763905,0.8178897124619185,0.7922037458741663
0.7844978593837765,0.7949499871985324,0.7442032186414057,0.7734986530744967,0.6601802378734235,0.6655684015053405,0.6233217368484788,0.6515533727074992,0.7360646472103115,0.7926260758656775
0.33803957567263787,0.35692519363159547,0.46745779778785723,0.4504155184411307,0.4953848261663568,0.5129376737414935,0.47499141348897034,0.4821113435405604,0.5527747560472773,0.523169495107668
0.7777408925692056,0.7836087578315089,0.7598173979850666,0.7831854985958058,0.5854611694988057,0.4975810064084174,0.4820884402750383,0.6964596682921527,0.7396340627664177,0.8238609317216891
0.4765717405590395,0.5198745941517915,0.5770304911617145,0.5667338349816091,0.41996670301061223,0.45175566479706974,0.3861981213317257,0.5674795797544769,0.5780553743521957,0.6523973498045754
0.7869193655608255,0.7855367774207902,0.6914518911647651,0.7526110492927568,0.2955494997629977,0.3223410144477714,0.3656024406889604,0.6510428948516535,0.7505018844990486,0.7630537993840215
0.6336584668303946,0.6424044802456099,0.6580055741187074,0.6557374759108758,0.43250975056074337,0.4489335863115932,0.47674315785531385,0.6309541069795431,0.6885569590358013,0.684078379106202
0.5468789683614488,0.5510082206207648,0.5754457952382936,0.5718096999897876,0.4759496632908221,0.5281503265814378,0.4357827447438255,0.5568471307792539,0.640933527018852,0.6058011742007844
0.5082760321925811,0.5460128395313923,0.6042032609815562,0.6120437935189506,0.44398226112411987,0.5189396561664402,0.44219028674633765,0.6667026125121964,0.6556562043981131,0.6744991064975516
0.7668774953328235,0.7715690381572964,0.7803909007556626,0.7861428622067365,0.4359160765171428,0.5028301448370079,0.484431462403732,0.8073420652413624,0.7606194317534911,0.7379590624144228
0.7929366679023996,0.78117754610148,0.6721748782111341,0.701754819401672,0.5330595134057714,0.5792386771454849,0.44262274913289557,0.5609206219718681,0.6879013751766431,0.7523974653673269
0.6829615535366328,0.6974712776984489,0.721404358104404,0.7275075238907676,0.5005339528290179,0.5129558901621478,0.46633249396299203,0.7246842459128663,0.7244661396683554,0.7343982329373413
0.7672845966909665,0.765202972724979,0.7836651826066169,0.7928678936115743,0.6160815400349344,0.5765646591852969,0.5025734738650647,0.6626848689401059,0.6907555271421231,0.7631210796019672
0.8042271898597119,0.8193166103493839,0.8020854321141063,0.8285752163313045,0.6804534133903222,0.6970851539389789,0.6429227502869203,0.7820983908827454,0.8821457096355652,0.852158652998267
0.7805487356105419,0.8015836174092975,0.8527277227409356,0.8531603296130484,0.6091568860894632,0.5858487068555356,0.5559060953674155,0.8287935016798758,0.884344896088057,0.8709224189430056
0.8229732111785477,0.8233551999839845,0.8032173083779891,0.8248570451240976,0.5193979908868112,0.5691826884765152,0.4759738252748963,0.7313409457117793,0.8066880145585174,0.8121159107461529
0.7453079702219632,0.7319606379803848,0.7108169308563601,0.7258431535681187,0.489373907999625,0.4760169594558118,0.5238511991039209,0.6303942193680513,0.7304878855907662,0.746341039460535
