meta,opt
0.13907794868269918,0.13885944730555122
0.010836023348286816,0.011276932288883379
0.1541170488620489,0.16624016692094246
0.13953446295680583,0.1263353269843247
0.14256188093455746,0.14416236219955325
0.1446992454841074,0.14475685843716934
0.16155877747366276,0.16093841962540534
0.1587091360713453,0.15923216301635124
0.12403325109902463,0.1248992384481401
0.12536703490572476,0.12206975087656469
0.1279333248476382,0.12811804802558258
0.2349629928178244,0.22708819579007866
0.13168667629767594,0.13129464497284515
0.1294291344186873,0.11961291796424589
0.153572842997599,0.15511278454014532
0.1355983846827965,0.13511496285855507
0.18709975783588273,0.17585985449036912
0.10837748375028167,0.11205941115544615
0.14461769080961673,0.13670378449779264
0.10867495154475504,0.11190936674502294
0.1603435377129917,0.15432456946196282
0.06334357055692297,0.05712688930834997
0.10084885835724389,0.10150629589016424
0.12827002472253912,0.13092309997730822
0.08731594826395295,0.09458840224626874
0.012181909617287379,0.01500563223543172
0.18348390769696732,0.18742358450976038
0.11119398570590822,0.1124776703358864
0.14206115489340432,0.14301423496036725
0.17333998880068846,0.17170424452604172
0.18277710675098813,0.17643549529416191
0.18195530505838775,0.1787960094306602
0.16135349855178482,0.16166211553492205
0.1529827945759139,0.14305608587386065
0.1385468022704771,0.13882568144815932
0.07406831035861439,0.06956898594992822
0.12584639026964695,0.12772214099982038
0.19098630995898724,0.18818384364547336
0.07813305595059972,0.07947908840214435
0.11041980139934138,0.11315598007738492
0.13390919002057955,0.13440439512452385
0.054471237606351086,0.05498743903350756
0.1192068237663868,0.11261465362066747
0.2230284900073649,0.2268455151116543
0.10324102864621088,0.09500713008671524
0.14902256646250822,0.1490448858423522
0.11728624873152627,0.11839688794456693
0.04863723751965632,0.055907419630008004
0.09735323830917109,0.09752148894624413
0.1262708019908111,0.1290316816651963
0.17167088147985765,0.17384594375808182
0.12822434519128223,0.1284146925426698
0.09591720599112452,0.09304229201674163
0.20714095190877746,0.20336112806372197
0.13804811457760024,0.13953492767751352
0.14167591887187025,0.14059666067325782
0.14699924893197003,0.14375241458419596
0.1577748905207208,0.1552163009102342
0.09170839853169444,0.09153772766654844
0.06989175420391003,0.08305365206317261
0.07434973053852534,0.07420641960616392
0.16588134825886092,0.1480072464935347
0.16722677150257592,0.17292417899716828
0.1729862739361897,0.1730197642571103
0.0968311189639941,0.09461050424384165
0.1719132718568812,0.1849150253432632
0.15319119406093196,0.1556546862863497
0.13820775964202558,0.13793600064937206
0.1172754303125001,0.11681110705680042
0.0461723927279013,0.057060438356553944
0.1834475861624375,0.18169905558372235
0.21191012524340191,0.2135769178732334
0.13011276179652098,0.1312157487569181
0.1907799985927272,0.1945934511758709
0.17284961196983484,0.17741988121536278
0.1980997139611489,0.19589182023736473
0.12080794649994764,0.12064037065761157
0.1495319604269849,0.15168300595798678
0.1725886723783545,0.1836704900468632
0.11237299041939797,0.11439013754777883
0.17391296216396745,0.17007134818201597
0.14845814695384352,0.14849873672364644
0.11295797398349439,0.11210821819162509
0.08896582491588534,0.09465178323460766
0.11806010633411124,0.11921029836960084
0.08188253446003291,0.08238541821084155
0.08886233012353628,0.09200566409149391
0.22970540035617648,0.23098488860303812
0.11081925093690326,0.10486728571208204
0.16625044726677884,0.1506842472743103
0.15579960592294428,0.15215779443756683
0.14245763179922366,0.15655083896873523
0.1432754865262894,0.14953342186413643
0.11233295673258292,0.1175793515787279
0.09825293852748951,0.09313244217435435
0.1493461062291246,0.14862985008027352
0.10116875424980554,0.10117489676613045
0.142095326923115,0.14428222515411204
0.14386226570310834,0.14345781111552403
0.04768515488094449,0.048932838192323413
